username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
161partisan,"Antifascist, 24/7 365 no days off",Everywhere,465,1546,5618,2019-08-14 05:42:50,2020-07-15 05:58:48,3,"🔥👀🔥

yet another 

#charlottesville #unitetheright 

nazi identified

👉Tyler MacAnally👈

h/t @mboroafa 🙏

#nonazis #knowyournazis

https://t.co/e1gMlNo0vy https://t.co/C2jhNIPAYZ","[{'text': 'charlottesville', 'indices': [39, 55]}, {'text': 'unitetheright', 'indices': [56, 70]}, {'text': 'nonazis', 'indices': [126, 134]}]"
liveswamprat,anarchist 💣🅰 anti-fascist ↙️↙️↙️ eclectic pagan 💀 surviving in the swamps of the deep South. he/him bisexual 💗💜💙,,538,622,2404,2014-08-02 18:34:14,2020-07-15 05:48:51,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
rcristofrf,Tischler/Schreiner - Cabinet maker @midvinter_holz - Death/Black Metal-Fan - Nihilist (supposedly) - half #Caboverdian/half German,Berlin,3793,1670,30196,2008-05-22 11:38:38,2020-07-15 05:44:30,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
MotherofTitan,"temp loaner acct (NOT an alt) for @heretical_1...please tag him and @vijaya, @delbius, @twittersupport and ask them to let Russell have a human decide his fate!",,4107,4058,19960,2017-09-29 22:21:07,2020-07-15 05:38:48,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
RileyFosterPDX,"AK ✈️ PDX, He/Him, ↙️↙️↙️, #BLM, #ATTACKANDDETHRONEGOD","Portland, OR",1565,248,3746,2012-05-06 23:04:49,2020-07-15 05:36:52,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
seattleYLF,Seattle division of the @PNWYLF a youth and student led anti fascist and anti electoralist group in the Seattle area seattleylf@protonmail.com,Duwamish land,171,3993,5073,2019-05-28 04:19:32,2020-07-15 05:30:51,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
phidippusrubrum,"just a friendly comrade of the pacific northwest region of ""america""",,1344,264,3960,2020-06-02 20:50:55,2020-07-15 05:28:10,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
hillaryrettig,"Author of Productivity is Power, The 7 Secrets of the Prolific, and The Lifelong Activist. Lover of dogs and all forms of social justice.","Kalamazoo, MI",814,1739,33802,2010-07-31 18:41:47,2020-07-15 05:26:04,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
Guillotine_Guac,,,2679,633,48498,2017-04-03 03:47:09,2020-07-15 05:25:11,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
hungsolo,,"Denver, CO",61,46,5272,2009-02-28 04:10:50,2020-07-15 05:19:00,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
solibearity860,"General Strike Against Racism.
Victory Over Fascism ↙↙↙","Hartford, CT",983,375,5814,2018-07-19 18:36:28,2020-07-15 05:17:30,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
queerlefty1,(✿´‿`) || Gay af || leftist || ACAB || He/him/his || millennial || retweets are meaningless || anti-terf || fully automated luxury gay space communist || (✿´‿`),,1133,382,4992,2020-06-04 22:23:44,2020-07-15 05:16:58,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
aquamarineyg,with love and compassion i seek to bridge the divide * proud Angeleno and LA sports fan * black lives matter * let's all vote this year,"Venice Beach, Los Angeles",491,1862,15815,2019-05-10 20:15:15,2020-07-15 05:16:52,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
barrick4heisman,"occasionally @RememberF5, former @underdogdynasty troublemaker. please file all antifa-related complaints with @UTSARivals",Fury Road,1304,455,28608,2017-08-31 20:23:47,2020-07-15 05:16:37,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
ellipse_chris,,,382,83,19132,2016-11-14 01:02:10,2020-07-15 05:16:09,16916,"In 1943, the US War Department released this video to tell Americans not to fall for fascist rhetoric. #Charlottesville https://t.co/n1KkLLmX4q","[{'text': 'Charlottesville', 'indices': [118, 134]}]"
LCRWnews,CA-based news site covering right-wing politics & extremism. NEWS TIPS: leftcoastrightwatch@ProtonMail.com PATREON: https://t.co/ObHFgXuJIn DONATE: https://t.co/B3L06A8s1I,"California, USA",640,14376,18195,2018-11-25 22:57:35,2020-07-15 05:16:02,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
tundrahdesert,,,633,227,33864,2007-03-23 00:05:34,2020-07-15 05:15:21,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
No_Nazis_Please,Sunlight is the best disinfectant.,Your head,51,802,9123,2017-09-13 04:14:35,2020-07-15 05:15:00,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
EvilEmp1re,,City of ANGELS,94,72,4240,2012-07-25 06:14:38,2020-07-15 05:14:40,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
queerbrutality,⚠ ⚠ ⚠ Not the friendly queer you are looking for. Not interested in being polite or having a gender. angry femme⚠ ⚠ ⚠ backup @2queer2brutal,"San Francisco, CA",717,468,53690,2014-11-20 14:55:18,2020-07-15 05:12:24,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
alexfoti,"dal 2001 con e per la #ClassePrecaria #MayDay #MayDay - autore di GENERAL THEORY OF THE PRECARIAT, recensito da LSE Review of Books https://t.co/qZQKjjDIX4","Pink, Black, Green",5000,2715,80184,2008-08-05 13:41:02,2020-07-15 05:09:42,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
GussyGus_777,Lesbian. Music lover. Game enthusiast. Horror fiend. Old Hollywood. All around weirdo.,,484,56,1915,2020-03-31 21:37:22,2020-07-15 05:02:22,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
Grom_The_Paunch,,,2287,221,40363,2017-06-06 11:04:19,2020-07-15 04:59:27,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
msail17,"Christian Democrat saddened by all the #FakeChristian #CINO #meanspirited #Rethuglican liars🤨

#ReadTheMuellerReport #TrumpResign",Everywhere,1991,626,31612,2012-01-25 02:40:02,2020-07-15 04:48:46,0,@Chris_1791 @AmandaGoer @DailyCaller #trumpisracist even with a Jewish son in law...SAD. #disloyaljews #tikitorches #Charlottesville #whitesupremacists https://t.co/qJXHXrwhJL,"[{'text': 'trumpisracist', 'indices': [37, 51]}, {'text': 'disloyaljews', 'indices': [89, 102]}, {'text': 'tikitorches', 'indices': [103, 115]}, {'text': 'Charlottesville', 'indices': [116, 132]}, {'text': 'whitesupremacists', 'indices': [133, 151]}]"
azrblack1,🖤they/them🖤film student🖤cat dad 🖤queer🖤♓️☀️♐️🌙♑️💫 Black Lives Matter,"Scotland, United Kingdom",466,88,3930,2019-07-13 00:39:06,2020-07-15 04:32:58,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
BigfootIsCain,"All tweets represent the definitive views of the LDS Church, whose most foundational doctrines are that Bigfoot is Cain and money should be abolished.","Salt Lake City, UT",640,444,36133,2016-10-11 01:33:43,2020-07-15 04:32:27,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
EmporiumFred,Mr. Rogers Guillotine Emporium,Main Street USA,248,58,1297,2018-10-23 22:05:52,2020-07-15 04:32:20,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
anthonybgay1,they/them | Poli Sci ‘22 | Queer & Trans | Disabled | Here for Collective Liberation | 🌞♉️🌑♍️💫♊️,"Richmond, VA",897,322,9055,2019-11-22 03:32:58,2020-07-15 04:31:13,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
MarnieLazer,"I don't think states are a very good idea
❤️🖤❤️they/them❤️🖤❤️",,237,65,2628,2019-03-05 07:15:18,2020-07-15 04:07:20,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
TheNocternal,"Anarco-Communist, Podcast Aficionado",,76,31,5078,2014-06-12 10:06:57,2020-07-15 04:01:25,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
Abel_Exe,True Neutral forced into Chaotic Good by overwhelming presence of Lawful Evil | Posting Graphic Police Brutality 4 now,,1117,133,7507,2013-03-01 15:38:17,2020-07-15 03:58:57,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
MichaelMcelmury,"#Resistance #Bidden2020 - Mod/Prog gay husband, father, gramps, love animals, intensely dislike political hypocrisy. Challenged by ♿️ Transv Myelitis. #Resist","Phoenix, AZ",4022,3534,46029,2017-01-17 04:17:50,2020-07-15 03:51:17,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
CapMorgenthau,"If we were to erase national boundaries and accept the essential unity of all mankind, the world would be a better place.",,1355,916,28571,2009-04-01 16:24:06,2020-07-15 03:49:01,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
loveholliejo,"Politics, music, books, art, Los Angeles and justice for all.",DTLA,1982,1432,90613,2009-07-27 17:02:33,2020-07-15 03:45:39,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
kathytafel,"Head of Engineering @ Mobimeo. Founder @ The Recipe Box. Former leader @ apple, amex, meetup, and NI. Views my own. RT≠👍🏼.
she/her","Berlin, DE",550,557,17080,2011-01-29 19:59:18,2020-07-15 03:36:31,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
SoSAmericaNow,We need massive sustained protests to remove Trump and preserve the economic and environmental futures of our children. #SOSAmericaNow @SOSMemeDepot,DC,239,15027,6261,2019-02-02 15:10:08,2020-07-15 03:28:30,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
tina_leeds,"Nasty Woman Vote Blue! #BlackLivesMatter  #ArmyBrat
Disabled-CRPS  #BidenVoter Hillary Won 2016  #NeverBernie",,497,428,15083,2012-10-29 04:46:06,2020-07-15 03:27:40,0,"@JunkCashOnions @EagleSoarsUSA @stclairashley You have no idea wtf the definition of a Domestic Terrorist
IS!! White Supremacists Orgs. Proud Boys. Boogie Bois. These are some of some of the Active DT the @FBI has on
file today &amp; is finally sharing details of the Organizers w/
local LEOs after #Charlottesville. NOT Antifa.","[{'text': 'Charlottesville', 'indices': [299, 315]}]"
NoahTzedek,"""Justice is what love looks like in public."" -cornel west
They/them",They/them,1607,169,15320,2009-07-29 20:15:06,2020-07-15 03:23:32,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
MelianJarvis,,"Australia, Wangal land",279,182,23955,2013-03-26 02:43:54,2020-07-15 03:14:38,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
researchnerdery,"A better sort of ant. 
TRANS RIGHTS ARE HUMAN RIGHTS!

Roller derby official she/her","Washington, DC",556,261,23758,2012-06-12 15:46:37,2020-07-15 03:13:59,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
AntifaGarfield,"Likes: Lasagna, sleeping, dismantling oppression, dunking on fash

Dislikes: Fascism, Police, Mondays

Afg161 @ protonmail. com",,277,3024,3443,2020-02-11 17:55:36,2020-07-15 03:13:30,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
nAthAn_myself,"fire gets lit before it goes out
Antifascist
Black lives matter",,276,137,183,2009-10-29 03:17:48,2020-07-15 03:10:32,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
transhellterror,"Actor | Writer | Florida's Rumplestiltskin. 

newton/salem/noaa/travis. pronouns: sé/é. 25. grew up in RI.

Black lives matter.

my @ courtesy @thanatosinfurs",Narragansett & Seminole Lands,922,159,32187,2018-01-06 20:49:33,2020-07-15 03:09:53,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
MsLensRAMZ,"Ma of R.A.M.Z, Scribe/Author wannabe, SURVIVOR, 💜 2 all except Racist who rep da donald 🙏🏾💜💡✊🏾  4 donations $MsLensRAMZ  @ Melinda-Hall-22",,2494,306,37940,2018-09-25 22:13:42,2020-07-15 03:08:10,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
BurningOmmm,"♿Two Spirit~Artist~Survivor~Iroquois~Mohawk~Nonverbal~cptsd/.....~
 ♿",Earth...mostly,718,485,60471,2014-04-22 02:11:32,2020-07-15 03:07:37,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
kardinalexposit,"Honor the dead, fight like hell for the living.","Grayling, MI",1096,172,9480,2017-04-08 21:27:22,2020-07-15 03:07:00,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
Terfblocker,https://t.co/1jBPdSvRMv,terf island ,886,2492,1793,2019-01-18 10:05:14,2020-07-15 03:04:29,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
TheGoodColonel,enplumpened,,1880,69,1798,2015-01-21 22:46:15,2020-07-15 03:01:03,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
uberpreeya,"data scientist, product designer, tv watcher, livetweeter | co-host @TVSavesTheWorld | she/her",,658,390,39130,2009-02-28 03:55:01,2020-07-15 03:00:04,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
carimachet,"multimedia producer, journalist, artist, camera'man', editor, this is one of my best friends Wed she is stuck in Iraq - we miss her",nyc o public key ,4989,2047,184015,2009-02-28 12:39:41,2020-07-15 02:55:36,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
kimlehmkuhl,"suck my dick
and choke on it
I yield my time
fuck you

https://t.co/3iPCpyQc7i
https://t.co/pg4SkKllDi",Our Nation's Capital (Ward 5),5002,1761,44369,2011-11-02 05:04:56,2020-07-15 02:54:46,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
DaleGrungus,I am a tastemaker and I kill things. I am not a tastemaker and I kill things. she/her,"Toblerone, Lichtenstein ",507,416,4952,2017-03-15 16:36:44,2020-07-15 02:52:35,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
leahida,#BLACKLIVESMATTER Jewish mama bear. Non-binary & queer. Historian & journalist illuminating suppressed narratives.,Gaia,4354,3893,15155,2012-10-29 22:54:47,2020-07-15 02:50:12,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
BiRS80,"Parent, Partner, Bi+. Seeking 100% eqality and acceptance for all.",Earth,495,108,720,2020-06-14 14:47:48,2020-07-15 02:50:10,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
micbo5,Cold War kid back after suspension. Exploring intersectionality thru image. BE THE MAGE NOT THE IMAGE #BlackLivesMatter #UU #DefundThePolice,,168,26,828,2020-06-02 16:27:36,2020-07-15 02:38:22,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
BriaroseWakes,"Little fiction, little truth","My head, with the wild things ",287,67,715,2020-04-05 00:05:36,2020-07-15 02:36:52,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
GreggHoush,"I am an activist and podcaster focused on internet freedoms, censorship, over-prosecution, Anonymous, and a lot more.",GPG: 0x5B9EE576F9EF31BA,8930,98860,26835,2012-03-26 21:15:02,2020-07-15 02:36:35,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
anabellebf,"Social Dimensions of Health PhD student @UVic studying abortion policies, stigmatized sexualities and non-monogamy. She/her. Mask by @smart_dirty.",WSANEC & Lekwungen territories,2750,2052,53486,2009-04-14 07:00:43,2020-07-15 02:35:13,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
MNUnitedAF,"Minnesota United Against Fascism↙️↙️↙️⚽️Giving Racism the Red Card⚽️ #MNUFC
#AUnitedFront",,1809,8358,28785,2018-11-06 03:43:09,2020-07-15 02:35:02,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
sorryABTearlier,he/him. sweet baby. xennial dickhead. lefty dirtbag. kin to all that throbs.,"Virginia, USA",2174,750,12915,2010-09-17 12:17:04,2020-07-15 02:32:47,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
caterwaulflora,🏴 organ eyes,"Your life, your home, your community, your workplace, your planet.",549,123,16107,2019-01-27 04:20:09,2020-07-15 02:30:55,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
SmallishBear249,i noticed you like jesus piece on your instagram story,"Lynn, MA",223,187,34013,2017-05-29 02:53:07,2020-07-15 02:26:21,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
KayPear99,Law professor. Lifelong feminist. Weary but unrepentant leftist. She/her. #BDS #BlackLivesMatter #NoBorders #AbortionIsHealthCare #NeverAgainIsNow,"Fredericton, NB Canada, On the unsurrendered and unceded lands of Wulustukyik.",823,719,33828,2013-11-03 03:06:27,2020-07-15 02:23:10,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
isky_UniG33k,Mod for @UniG33kverse streams (see link) | Enby | 34 | Jewish atheist anarchocommunist - what of it? | See my junk at https://t.co/Z0FuAKrSSR,uuuuhhhhh internet?,1297,175,19846,2009-05-02 07:23:36,2020-07-15 02:22:51,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
bear_risa,"News aggregator mostly. Links, or retweets posted by me are those I find interesting and do not necessarily represent my thoughts. She/her. _()_","Oregon, USA",363,155,21176,2020-02-08 13:58:43,2020-07-15 02:21:59,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
IjuuinEnzan,"My tears, like sweet drinks, will I proffer to the Holy Inanna [she/her] 31",Toronto,295,84,68275,2009-06-19 23:42:56,2020-07-15 02:21:56,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
hydroxychloro69,Fuck it. Just use bleach.,"Richmond, VA",133,17,524,2020-04-06 22:03:20,2020-07-15 02:20:27,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
sudowood0,Spencer/Sudowoodo 🌵♎️ - 👌🏾NB Trans Woman 💜- She/They - Polyam/Pan - 21 - DK in Smash - Film/Anthro Major @ UNLV - Expect Many RTs - 🍞@bittypkc🍞- #BLM,,1170,263,48101,2016-04-02 00:41:32,2020-07-15 02:19:14,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
AnarchoSyn1313,"1312
He/Him - Cis/het
Danish AFA
Im not here to have a Socratic debate with bigots",,77,42,2558,2020-05-30 22:32:14,2020-07-15 02:18:24,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
TJFlamson,"Researcher on mental health in child welfare.  Erstwhile Anthropologist, Brazilianist, and World Humor Expert™.  He/Him. I mostly just retweet.","Sacramento, CA",513,191,23039,2015-11-07 04:01:49,2020-07-15 02:16:25,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
exileincvi11,Atheist in a foxhole. He/Him. Living on stolen Monacan and Manahoac land. Always antifascist.,,306,117,859,2019-08-26 12:25:56,2020-07-15 02:16:03,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
matt_disaster,And sometimes broken things make the best building supplies,Actual Cyberpunk Dystopia,425,128,31754,2011-05-03 23:05:35,2020-07-15 02:14:08,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
